"","Site.of.Cancer","Average.Annual.Cases.malefemale","incidence.rate.per.100.000.Population.malefemale","incidence.95lower.malefemale","incidence.95upper.malefemale","Average.Annual.Cases.male","incidence.rate.per.100.000.male","incidence.95lower.male","incidence.95upper.male","Average.Annual.Cases.female","Rate.per.100.000.female","incidence.95lower.female","incidence.95upper.female","Average.Annual.Deaths.malefemale","mortality.rate.per.100.000.Population.malefemale","mortality.95lower.malefemale","mortality.95upper.malefemale","Average.Annual.Deaths.male","mortality.rate.per.100.000.male","mortality.95lower.male","mortality.95upper.male","Average.Annual.Deaths.female","mortality.rate.per.100.000.female","mortality.95lower.female","mortality.95upper.female","county.name"
"19","Urinary bladder (incl. in situ)",107.4,27.8,25.5,30.4,80,48.5,43.8,53.7,27.4,12.5,10.4,14.9,17.8,4.5,3.6,5.6,12.8,8.2,6.3,10.6,5,2.1,1.3,3.2,"Albany"
"20","Kidney and renal pelvis",75,20.4,18.3,22.7,47,28.2,24.5,32.2,28,13.8,11.5,16.4,13.4,3.5,2.7,4.4,8.8,5.4,3.9,7.3,4.6,2.1,1.3,3.2,"Albany"
"21","Brain and other central nervous system",21.8,6.1,5,7.4,11,6.6,4.9,8.7,10.8,5.6,4.2,7.5,15.2,3.9,3.1,5,9.4,5.4,4,7.3,5.8,2.8,1.8,4.1,"Albany"
"22","Thyroid",61.2,18.8,16.6,21.1,11.8,6.7,5,8.7,49.4,30.3,26.5,34.6,2,0.5,0.2,1,1,0.5,0.2,1.3,1,0.5,0.1,1.2,"Albany"
"23","Hodgkin lymphoma",9,2.8,2,3.8,5.2,3.4,2.2,5.1,3.8,2.2,1.3,3.6,0.4,0.1,0,0.4,0.2,0.1,0,0.8,0.2,0.1,0,0.7,"Albany"
"24","Non-Hodgkin lymphomas",87.8,23.6,21.4,26,46.6,28.8,25.1,32.8,41.2,19.8,17.1,22.9,22,5.7,4.7,7,11.8,7.7,5.9,10,10.2,4.4,3.2,5.9,"Albany"
"25","Myeloma",30.6,7.9,6.7,9.4,16.8,10.4,8.2,12.9,13.8,6.2,4.8,8,10.8,2.7,2,3.5,5.4,3.3,2.2,4.9,5.4,2.2,1.4,3.3,"Albany"
"26","Leukemias",58.8,16.2,14.4,18.3,32.8,19.9,16.8,23.3,26,13.3,11,15.9,19.2,4.8,3.9,5.9,10,6,4.4,8,9.2,4,2.9,5.5,"Albany"
"27","All Invasive Malignant Tumors",311,506.2,480.2,533.2,170.2,556.2,518.2,596.5,140.8,463.5,427.9,501.5,107.6,167.9,153.7,183.2,55.8,188.6,166.6,212.9,51.8,151.9,133.4,172.6,"Allegany"
"28","Oral cavity and pharynx",8.6,12.6,9,17.3,6.4,19,12.9,27.5,2.2,6.3,3,12,0.8,1.2,0.3,3.4,0.8,2.6,0.7,7.3,0,0,0,3.4,"Allegany"
"29","Esophagus",5.6,8.4,5.5,12.5,4.4,13.8,8.5,21.6,1.2,3.6,1.3,8.4,3.4,5.5,3.2,9.1,2.8,10,5.4,17.2,0.6,1.6,0.3,5.7,"Allegany"
"30","Stomach",5.2,8.2,5.3,12.3,2.6,8.4,4.4,14.9,2.6,8.3,4.3,14.8,1.6,2.4,1,5.1,0.6,2.2,0.4,6.8,1,2.8,0.9,7.3,"Allegany"
"31","Colorectal",31.8,52.4,44.3,61.6,17.4,59.5,47.3,74,14.4,45.7,35.3,58.6,12.2,19.3,14.7,25.1,6.4,22.4,15.2,32.1,5.8,16.3,10.7,24.3,"Allegany"
"32","Colon excluding rectum",21.6,35.9,29.2,43.7,11,38.7,28.9,50.9,10.6,34,25,45.4,10,16,11.7,21.4,5.2,18.6,12,27.6,4.8,13.6,8.5,21.2,"Allegany"
"33","Rectum & rectosigmoid",10.2,16.5,12.1,22,6.4,20.8,14,30,3.8,11.7,6.9,19,2.2,3.4,1.7,6.3,1.2,3.8,1.4,9,1,2.7,0.8,7.1,"Allegany"
"34","Liver / intrahepatic bile duct",3,4.7,2.6,8,1.8,5.6,2.5,11.2,1.2,3.9,1.4,9,2.2,3.4,1.7,6.3,1,3.2,1,8.2,1.2,3.5,1.3,8.4,"Allegany"
"35","Pancreas",9,13.8,10,18.8,3.4,10.2,5.8,17,5.6,16.6,10.9,24.7,6.2,9.7,6.5,14,2.8,8.3,4.4,14.5,3.4,10.6,6.1,17.7,"Allegany"
"36","Larynx",3,4.7,2.6,8,2.8,8.7,4.7,15.3,0.2,0.8,0,4.9,1.2,2,0.7,4.5,1,3.6,1.2,8.8,0.2,0.5,0,4.1,"Allegany"
"37","Lung and bronchus",48,73.6,64.4,83.9,26.2,83.8,69.7,100,21.8,65.2,53.3,79.3,30.8,46.9,39.6,55.1,16.8,55.1,43.8,68.8,14,40.2,31.3,51.4,"Allegany"
"38","Melanoma of the skin",17.8,31.4,24.9,39.3,11.6,40.7,30.5,53.4,6.2,23.7,15.5,34.7,2.4,3.5,1.8,6.5,1.8,5.5,2.5,11.1,0.6,2.1,0.4,6.7,"Allegany"
"39","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,33.4,118.5,100,139.6,NA,NA,NA,NA,NA,NA,NA,NA,5.2,16.1,10.2,24.4,"Allegany"
"40","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.6,7.3,2.9,14.8,NA,NA,NA,NA,NA,NA,NA,NA,0.8,3.6,0.8,9.6,"Allegany"
"41","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,10,32.4,23.6,43.7,NA,NA,NA,NA,NA,NA,NA,NA,1.8,5.8,2.5,11.6,"Allegany"
"42","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4.6,14,8.7,21.8,NA,NA,NA,NA,NA,NA,NA,NA,3.4,10,5.8,16.7,"Allegany"
"43","Prostate",NA,NA,NA,NA,41.2,125,108.1,144.1,NA,NA,NA,NA,NA,NA,NA,NA,4,13.1,7.9,20.8,NA,NA,NA,NA,"Allegany"
"44","Testis",NA,NA,NA,NA,0.8,2.8,0.7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.4,NA,NA,NA,NA,"Allegany"
"45","Urinary bladder (incl. in situ)",17.6,27.7,22,34.4,13.8,46.2,35.6,59.1,3.8,11.4,6.7,18.5,3,4.8,2.6,8.3,2.4,9.2,4.7,16.6,0.6,1.8,0.4,6,"Allegany"
"46","Kidney and renal pelvis",10,16.5,12.1,22.2,5.6,18.6,12.1,27.6,4.4,14.3,8.8,22.4,2.8,4.1,2.2,7.2,2.2,7.4,3.6,13.8,0.6,1.6,0.3,5.6,"Allegany"
"47","Brain and other central nervous system",4,7.4,4.4,11.8,2.4,9.1,4.5,16.4,1.6,5.7,2.3,11.9,2.4,3.6,1.8,6.7,1.4,3.8,1.5,8.7,1,3.5,1.1,8.8,"Allegany"
"48","Thyroid",4.6,9.8,6,15,1.2,5.3,1.9,11.8,3.4,14.4,8,23.6,0.4,0.5,0.1,2.4,0,0,0,3.4,0.4,1,0.1,4.8,"Allegany"
"49","Hodgkin lymphoma",1.4,2.4,0.9,5.3,0.8,3.1,0.8,8.4,0.6,1.6,0.3,5.8,0.2,0.3,0,2.2,0.2,0.7,0,4.6,0,0,0,3.4,"Allegany"
"50","Non-Hodgkin lymphomas",9.8,16.4,11.9,22.1,5.8,20.1,13.1,29.6,4,13.2,7.8,21.1,2.8,4.8,2.5,8.3,1.6,6.3,2.6,12.9,1.2,3.3,1.2,8.1,"Allegany"
"51","Myeloma",3.2,4.8,2.7,8.1,2.2,7,3.5,13.2,1,2.6,0.8,6.9,1,1.7,0.5,4.2,0.6,2.2,0.5,6.9,0.4,0.9,0.1,4.6,"Allegany"
"52","Leukemias",7.8,12.8,9,17.8,5.2,19.3,12.4,28.8,2.6,7.2,3.8,13,3.8,5.9,3.5,9.5,1.8,6.4,2.9,12.6,2,5.5,2.6,10.8,"Allegany"
"53","All Invasive Malignant Tumors",6416.2,441.2,436.3,446.1,3099.6,505.2,497,513.4,3316.6,401.1,394.9,407.3,2264.6,158.1,155.2,161.1,1112.4,196.3,191,201.6,1152.2,134.9,131.4,138.5,"Bronx"
"54","Oral cavity and pharynx",145.6,9.9,9.2,10.6,97.6,15.5,14.1,17,48,5.7,5,6.5,43.4,3,2.6,3.4,29.8,5,4.2,5.9,13.6,1.6,1.2,2,"Bronx"
"55","Esophagus",50.6,3.5,3,3.9,35.8,6,5.1,6.9,14.8,1.7,1.4,2.2,43,3,2.6,3.4,29.8,5.1,4.3,6,13.2,1.6,1.2,2,"Bronx"
"56","Stomach",141.8,10,9.2,10.8,75,12.9,11.6,14.3,66.8,8.1,7.2,9,66,4.7,4.2,5.3,39,6.9,6,8,27,3.3,2.8,3.9,"Bronx"
"57","Colorectal",536,37.3,35.9,38.7,270.8,45,42.6,47.5,265.2,31.8,30.1,33.6,211.6,14.8,13.9,15.8,106,18.8,17.2,20.5,105.6,12.2,11.2,13.4,"Bronx"
"58","Colon excluding rectum",377.8,26.4,25.2,27.6,185,31.2,29.2,33.3,192.8,23,21.6,24.5,171.8,12,11.2,12.8,81.8,14.5,13.1,16.1,90,10.4,9.5,11.5,"Bronx"
"59","Rectum & rectosigmoid",158.2,10.9,10.1,11.7,85.8,13.8,12.5,15.2,72.4,8.8,7.9,9.7,39.8,2.8,2.5,3.3,24.2,4.3,3.5,5.1,15.6,1.8,1.4,2.3,"Bronx"
"60","Liver / intrahepatic bile duct",237.4,15.7,14.8,16.6,166.8,25.7,24,27.6,70.6,8.1,7.3,9,147.4,9.9,9.2,10.7,102,16.4,15,17.9,45.4,5.2,4.5,5.9,"Bronx"
"61","Pancreas",192,13.4,12.5,14.2,94.8,16,14.6,17.6,97.2,11.4,10.4,12.5,169.6,11.8,11,12.7,81.6,14.2,12.8,15.7,88,10.3,9.3,11.3,"Bronx"
"62","Larynx",58.6,4,3.5,4.5,43,7,6.1,8,15.6,1.9,1.5,2.3,21.6,1.5,1.2,1.8,17,3,2.4,3.7,4.6,0.5,0.3,0.8,"Bronx"
"63","Lung and bronchus",674,46.6,45,48.2,339.2,57.6,54.8,60.5,334.8,39.1,37.3,41.1,438.8,30.6,29.3,31.9,233.8,40.7,38.4,43.2,205,23.8,22.4,25.4,"Bronx"
"64","Melanoma of the skin",59.2,4.3,3.8,4.8,30.8,5.6,4.7,6.5,28.4,3.4,2.9,4.1,11.8,0.8,0.6,1.1,6.8,1.2,0.8,1.7,5,0.6,0.4,0.8,"Bronx"
"65","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,931.8,114.2,110.9,117.5,NA,NA,NA,NA,NA,NA,NA,NA,190.2,22.5,21.1,24,"Bronx"
"66","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,75.8,9.8,8.8,10.8,NA,NA,NA,NA,NA,NA,NA,NA,26.6,3.3,2.7,3.9,"Bronx"
"67","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,262.4,31,29.3,32.7,NA,NA,NA,NA,NA,NA,NA,NA,74.4,8.7,7.8,9.6,"Bronx"
"68","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,86,10.5,9.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,54.6,6.5,5.7,7.3,"Bronx"
"69","Prostate",NA,NA,NA,NA,925,144.8,140.5,149.1,NA,NA,NA,NA,NA,NA,NA,NA,139.4,27.4,25.3,29.5,NA,NA,NA,NA,"Bronx"
"70","Testis",NA,NA,NA,NA,24.2,3.6,2.9,4.3,NA,NA,NA,NA,NA,NA,NA,NA,2.6,0.4,0.2,0.7,NA,NA,NA,NA,"Bronx"
"71","Urinary bladder (incl. in situ)",192.4,13.5,12.7,14.4,131.6,23.4,21.6,25.3,60.8,7.1,6.4,8,51.6,3.7,3.3,4.2,31.8,6.2,5.2,7.2,19.8,2.2,1.8,2.7,"Bronx"
"72","Kidney and renal pelvis",235.2,16.1,15.2,17,144.8,23.5,21.7,25.3,90.4,10.7,9.7,11.7,43.4,3,2.6,3.5,29.2,5.1,4.3,6,14.2,1.6,1.3,2.1,"Bronx"
"73","Brain and other central nervous system",75,5.3,4.8,5.9,38.2,6.1,5.2,7,36.8,4.6,4,5.4,49.4,3.4,3,3.9,24.8,4.2,3.5,5,24.6,2.9,2.4,3.5,"Bronx"
"74","Thyroid",227.4,16.1,15.1,17,40.4,6.4,5.6,7.4,187,24.1,22.6,25.7,10,0.7,0.5,0.9,3.8,0.7,0.4,1,6.2,0.7,0.5,1,"Bronx"
"75","Hodgkin lymphoma",44.4,3.1,2.7,3.5,23.8,3.7,3.1,4.5,20.6,2.6,2.1,3.2,4.6,0.3,0.2,0.5,2.2,0.4,0.2,0.7,2.4,0.3,0.1,0.5,"Bronx"
"76","Non-Hodgkin lymphomas",278.6,19.4,18.4,20.4,142.8,23.6,21.8,25.4,135.8,16.4,15.2,17.7,74.8,5.3,4.8,5.9,41.8,7.4,6.4,8.5,33,3.9,3.3,4.6,"Bronx"
"77","Myeloma",167.4,11.5,10.7,12.3,86.8,14.3,12.9,15.7,80.6,9.6,8.7,10.6,52.4,3.6,3.2,4.1,28,4.8,4,5.7,24.4,2.8,2.3,3.4,"Bronx"
"78","Leukemias",182.8,12.7,11.9,13.5,95.4,15.8,14.4,17.3,87.4,10.6,9.7,11.7,77,5.4,4.9,6,40.8,7.2,6.2,8.3,36.2,4.2,3.6,4.9,"Bronx"
"79","All Invasive Malignant Tumors",1287.4,502.8,490,515.9,643.4,533.5,514.6,552.9,644,484.8,467,503.1,428.4,154.4,147.7,161.3,220.4,181.8,171,193.2,208,135.2,126.6,144.2,"Broome"
"80","Oral cavity and pharynx",35.4,13.9,11.8,16.2,27,23,19.1,27.5,8.4,6,4.3,8.4,8.4,3.1,2.2,4.3,6.4,5.2,3.6,7.5,2,1.3,0.6,2.6,"Broome"
"81","Esophagus",16.6,6.3,5,7.9,12,10,7.6,13.1,4.6,3.3,2,5,13.2,4.6,3.5,5.9,11,8.7,6.5,11.5,2.2,1.4,0.7,2.7,"Broome"
"82","Stomach",15.4,5.8,4.6,7.3,9.8,8.3,6.1,11.1,5.6,3.7,2.4,5.5,5.4,2.2,1.4,3.2,3.6,3.1,1.8,5,1.8,1.3,0.6,2.6,"Broome"
"83","Colorectal",92.6,35.5,32.2,39.1,49,41.6,36.4,47.4,43.6,30.2,26.1,34.9,34,12.4,10.5,14.5,17,14.5,11.5,18.1,17,10.5,8.2,13.2,"Broome"
"84","Colon excluding rectum",62.8,23.9,21.2,26.8,31.6,27.1,22.9,31.9,31.2,21.1,17.7,25,26.4,9.5,7.9,11.4,12.4,10.7,8.1,13.8,14,8.5,6.5,11,"Broome"
"85","Rectum & rectosigmoid",29.8,11.7,9.8,13.8,17.4,14.5,11.5,18.1,12.4,9.1,6.8,12,7.6,2.9,2,4.1,4.6,3.8,2.4,5.9,3,2,1.1,3.5,"Broome"
"86","Liver / intrahepatic bile duct",20.2,7.6,6.1,9.3,15.8,12.6,9.9,15.9,4.4,3.2,2,4.9,16.4,6,4.8,7.6,11,9,6.7,11.8,5.4,3.6,2.3,5.5,"Broome"
"87","Pancreas",43.4,15,13.1,17.2,21.8,17,13.9,20.6,21.6,13.1,10.7,16.1,34.8,12,10.3,14,17,13.5,10.7,16.8,17.8,10.6,8.4,13.2,"Broome"
"88","Larynx",7,2.7,1.8,3.8,4.8,3.7,2.3,5.6,2.2,1.8,0.8,3.4,1.8,0.7,0.3,1.5,1,0.7,0.2,1.9,0.8,0.7,0.2,2.1,"Broome"
"89","Lung and bronchus",170.8,63.6,59.3,68.2,87.2,71.6,64.9,78.9,83.6,57.6,52,63.7,111.8,40.4,37.1,44,57.2,46.7,41.3,52.5,54.6,36.1,31.8,40.9,"Broome"
"90","Melanoma of the skin",69.4,28.3,25.2,31.6,41.2,35.1,30.3,40.4,28.2,23.5,19.5,28.1,5.4,2.2,1.4,3.3,2.8,2.7,1.4,4.7,2.6,1.7,0.8,3.1,"Broome"
"91","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,185.2,145.6,135.7,156,NA,NA,NA,NA,NA,NA,NA,NA,24,16.5,13.4,20.1,"Broome"
"92","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,7.8,7.5,5.1,10.5,NA,NA,NA,NA,NA,NA,NA,NA,3.4,2.6,1.5,4.4,"Broome"
"93","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,45.2,34.7,30,40,NA,NA,NA,NA,NA,NA,NA,NA,7.8,5.1,3.6,7.2,"Broome"
"94","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,19.6,16.1,12.9,20,NA,NA,NA,NA,NA,NA,NA,NA,11.4,7.4,5.6,9.8,"Broome"
"95","Prostate",NA,NA,NA,NA,140,106.8,98.9,115.2,NA,NA,NA,NA,NA,NA,NA,NA,21.8,17.6,14.4,21.3,NA,NA,NA,NA,"Broome"
"96","Testis",NA,NA,NA,NA,8.2,10,7.1,13.7,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.7,0.1,2.3,NA,NA,NA,NA,"Broome"
"97","Urinary bladder (incl. in situ)",62.4,22.8,20.3,25.6,48.8,39.9,35,45.4,13.6,9.8,7.5,12.7,13.2,4.4,3.3,5.7,9.2,7.5,5.4,10.1,4,2.5,1.5,4,"Broome"
"98","Kidney and renal pelvis",44.2,17.4,15.1,20,28.4,24.2,20.3,28.8,15.8,11.2,8.7,14.3,11,3.8,2.9,5.1,7,5.5,3.8,7.8,4,2.6,1.5,4.1,"Broome"
"99","Brain and other central nervous system",16.8,7.6,6,9.5,9,8.6,6.2,11.7,7.8,6.7,4.6,9.4,10.2,4.4,3.2,5.9,6.2,5.7,3.8,8.2,4,3.1,1.8,5.1,"Broome"
"100","Thyroid",36.4,18.5,15.7,21.6,10.2,10.4,7.6,13.9,26.2,26.4,21.8,31.7,1.8,0.6,0.3,1.2,0.8,0.5,0.1,1.6,1,0.6,0.2,1.7,"Broome"
"101","Hodgkin lymphoma",6,3.2,2.1,4.6,3.4,3.6,2,5.9,2.6,2.8,1.4,4.9,0.6,0.2,0,0.8,0,0,0,0.8,0.6,0.5,0.1,1.5,"Broome"
"102","Non-Hodgkin lymphomas",49.8,19.6,17.1,22.3,26.6,23.1,19.2,27.6,23.2,16.7,13.6,20.4,15.4,5.5,4.3,7,9.2,7.7,5.6,10.3,6.2,4.1,2.7,6.1,"Broome"
"103","Myeloma",20,7.7,6.2,9.4,11.4,9.3,7,12.2,8.6,6.2,4.4,8.5,8,2.8,2,3.8,4.6,3.7,2.3,5.6,3.4,2,1.2,3.4,"Broome"
"104","Leukemias",44.4,16.9,14.7,19.4,26,22.4,18.6,26.7,18.4,12.3,9.8,15.3,17.8,6.5,5.1,8.1,9.6,8.4,6.2,11.3,8.2,5,3.5,7.1,"Broome"
"105","All Invasive Malignant Tumors",520.8,500.6,480.7,521.2,272.2,544.9,515.2,576,248.6,467.8,440.8,496.3,171.6,158.2,147.6,169.6,86.6,173.5,157.1,191.2,85,147.6,133.4,163.1,"Cattaraugus"
"106","Oral cavity and pharynx",16,15,11.8,19,11.4,22.8,17,30,4.6,7.3,4.6,11.3,4.4,3.8,2.3,5.9,3.2,5.9,3.3,10,1.2,1.6,0.6,4.1,"Cattaraugus"
"107","Esophagus",6,5.5,3.7,8.1,5.6,10.6,6.9,15.9,0.4,0.6,0.1,2.9,6.2,5.5,3.7,7.9,5.2,9.7,6.2,14.6,1,1.5,0.5,4,"Cattaraugus"
"108","Stomach",6,5.4,3.6,7.9,4.4,8.6,5.2,13.4,1.6,2.6,1.1,5.5,1.6,1.6,0.7,3.2,1,2.4,0.7,5.7,0.6,1,0.2,3.4,"Cattaraugus"
"109","Colorectal",40.8,41.7,35.9,48.2,21.2,45.4,36.9,55.5,19.6,38.6,30.9,47.7,15,14.4,11.3,18.3,7.2,14.7,10.2,20.7,7.8,14.2,9.9,20,"Cattaraugus"
"110","Colon excluding rectum",28.4,29.1,24.3,34.6,14.6,31.5,24.4,40.1,13.8,26.8,20.5,34.5,12.6,12.2,9.3,15.9,5.8,12.1,8,17.6,6.8,12.4,8.4,17.9,"Cattaraugus"
"111","Rectum & rectosigmoid",12.4,12.6,9.5,16.4,6.6,13.9,9.4,19.9,5.8,11.8,7.7,17.5,2.4,2.2,1.1,4,1.4,2.7,1.1,5.9,1,1.8,0.5,4.7,"Cattaraugus"
"112","Liver / intrahepatic bile duct",6.6,5.8,3.9,8.3,5.6,9.9,6.5,14.7,1,1.9,0.6,4.8,4.2,3.5,2.2,5.6,3,5.2,2.9,9,1.2,1.9,0.7,4.5,"Cattaraugus"
"113","Pancreas",14.6,13.8,10.7,17.5,8.4,16.4,11.6,22.5,6.2,11.6,7.7,16.9,10.4,9.4,7,12.5,6,11.9,7.9,17.3,4.4,7.5,4.7,11.7,"Cattaraugus"
"114","Larynx",4.6,4,2.5,6.3,4,7.7,4.5,12.3,0.6,0.9,0.2,3.1,0.6,0.5,0.1,1.8,0.4,0.8,0.1,3.2,0.2,0.3,0,2.3,"Cattaraugus"
"115","Lung and bronchus",80.4,72,65,79.7,41,79.1,68.4,91.2,39.4,67.2,57.8,77.7,51.6,47.5,41.8,53.9,26,51.2,42.6,61.2,25.6,44.3,36.8,53.2,"Cattaraugus"
"116","Melanoma of the skin",28.2,29.3,24.5,34.9,17.4,38,30.2,47.3,10.8,23.6,17.4,31.4,1.6,1.4,0.6,3,1.4,2.9,1.1,6.3,0.2,0.3,0,2.3,"Cattaraugus"
"117","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,62.8,119.5,105.9,134.5,NA,NA,NA,NA,NA,NA,NA,NA,9.4,17.5,12.5,23.8,"Cattaraugus"
"118","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,4.4,11,6.6,17.1,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.1,0.2,3.7,"Cattaraugus"
"119","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,19,36.8,29.3,45.7,NA,NA,NA,NA,NA,NA,NA,NA,3,5.4,2.9,9.3,"Cattaraugus"
"120","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,6.2,11.8,7.8,17.1,NA,NA,NA,NA,NA,NA,NA,NA,5,8.2,5.3,12.5,"Cattaraugus"
"121","Prostate",NA,NA,NA,NA,66.8,119.4,106.7,133.5,NA,NA,NA,NA,NA,NA,NA,NA,5,10.6,6.8,15.9,NA,NA,NA,NA,"Cattaraugus"
"122","Testis",NA,NA,NA,NA,2.8,8.6,4.6,14.5,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.5,0,3,NA,NA,NA,NA,"Cattaraugus"
"123","Urinary bladder (incl. in situ)",27.8,25.6,21.4,30.4,20.4,41.4,33.6,50.7,7.4,12,8.4,16.9,4.6,4.2,2.6,6.4,3,6.2,3.4,10.5,1.6,2.7,1.1,5.7,"Cattaraugus"
"124","Kidney and renal pelvis",19.2,19,15.2,23.5,12.2,26,19.6,34,7,12.9,8.9,18.3,3.8,3.3,2,5.4,2.6,4.9,2.6,8.8,1.2,2.3,0.8,5.2,"Cattaraugus"
"125","Brain and other central nervous system",7,7.8,5.4,11.1,4,9.7,5.8,15.2,3,6,3.3,10.2,5,5.3,3.4,8,2.6,5.5,2.8,9.8,2.4,5,2.5,9,"Cattaraugus"
