"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,118.2,149.1,136.7,162.5,NA,NA,NA,NA,NA,NA,NA,NA,15.4,18,14,22.8
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,4.2,8,4.8,12.6,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.5,0.6,3.4
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,28.6,33.1,27.8,39.3,NA,NA,NA,NA,NA,NA,NA,NA,4.4,4.6,2.9,7.3
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,8,10.6,7.4,14.9,NA,NA,NA,NA,NA,NA,NA,NA,6.6,7.7,5.2,11.1
"Prostate",NA,NA,NA,NA,108.8,141.2,129.2,154.1,NA,NA,NA,NA,NA,NA,NA,NA,10.2,15.5,11.5,20.6,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,2.8,6.4,3.4,10.7,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.6,0,2.7,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",41.4,26.9,23.2,30.9,32.2,47.5,40.3,55.7,9.2,11.2,8.1,15.3,8.2,4.9,3.5,6.8,5.6,8.2,5.4,12.1,2.6,2.9,1.5,5.3
"Kidney and renal pelvis",26.8,18.3,15.1,21.9,18.4,26.8,21.3,33.3,8.4,10.8,7.6,15,5.4,3.3,2.1,4.9,4.4,6.1,3.8,9.5,1,1,0.3,2.7
"Brain and other central nervous system",9.2,6.4,4.6,8.7,4.8,7,4.4,10.7,4.4,6.2,3.7,9.6,7.2,5.1,3.5,7.3,4.6,6.4,3.9,9.9,2.6,4.2,2.1,7.4
"Thyroid",13.2,11.6,8.8,14.9,3.8,6.7,3.9,10.8,9.4,16.2,11.7,21.9,1.2,0.8,0.3,1.8,0,0,0,1.5,1.2,1.3,0.5,3.3
"Hodgkin lymphoma",3.8,3,1.7,4.8,1.4,2.3,0.9,4.9,2.4,3.6,1.7,6.6,0.6,0.4,0.1,1.2,0.2,0.4,0,2.1,0.4,0.4,0,1.9
"Non-Hodgkin lymphomas",32,21.5,18.2,25.3,17.8,25.9,20.7,32.3,14.2,18.1,14,23.3,12.6,8.1,6.2,10.5,7.2,11.2,7.8,15.7,5.4,5.6,3.6,8.4
"Myeloma",11.2,7.4,5.5,9.8,7,9.8,6.8,13.9,4.2,5.3,3.2,8.5,5.6,3.5,2.3,5.2,3.4,5,2.9,8.2,2.2,2.4,1.2,4.7
"Leukemias",28.2,18.6,15.5,22.2,17.2,25.1,19.9,31.3,11,13.1,9.7,17.5,12,7.7,5.9,10.1,8,11.9,8.4,16.4,4,4.7,2.8,7.6
