"Site.of.Cancer","Average.Annual.Cases","Rate.per.100.000.Population","mf_95lower","mf_95upper","Average.Annual.Cases.1","Rate.per.100.000.Males","m_95lower","m_95upper","Average.Annual.Cases.2","Rate.per.100.000.Females","f_95lower","f_95upper","Average.Annual.Deaths","Rate.per.100.000.Population.1","mf__95lower","mf__95upper","Average.Annual.Deaths.1","Rate.per.100.000.Males.1","m__95lower","m__95upper","Average.Annual.Deaths.2","Rate.per.100.000.Females.1","f__95lower","f__95upper"
"Melanoma of the skin",475.4,25.8,24.7,26.9,288.4,34.2,32.4,36.1,187,19.6,18.4,21,40.8,2.1,1.8,2.4,27.4,3.3,2.7,3.9,13.4,1.2,0.9,1.6
"Female breast",NA,NA,NA,NA,NA,NA,NA,NA,1319.2,136.1,132.7,139.6,NA,NA,NA,NA,NA,NA,NA,NA,187.6,17.9,16.8,19.2
"Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,55.4,6.8,6,7.7,NA,NA,NA,NA,NA,NA,NA,NA,17,1.8,1.4,2.3
"Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,331.2,32,30.5,33.7,NA,NA,NA,NA,NA,NA,NA,NA,58.8,5.5,4.9,6.2
"Ovary",NA,NA,NA,NA,NA,NA,NA,NA,122.6,12.5,11.5,13.6,NA,NA,NA,NA,NA,NA,NA,NA,76.8,7.2,6.5,8
"Prostate",NA,NA,NA,NA,1181.2,129,125.6,132.4,NA,NA,NA,NA,NA,NA,NA,NA,122,15.7,14.4,17,NA,NA,NA,NA
"Testis",NA,NA,NA,NA,49.6,7.1,6.3,8.1,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.1,0,0.3,NA,NA,NA,NA
"Urinary bladder (incl. in situ)",517.8,27.6,26.5,28.7,388.6,47.6,45.4,49.8,129.2,12.3,11.3,13.3,93.8,5,4.5,5.4,65.2,8.5,7.6,9.4,28.6,2.6,2.2,3.1
"Kidney and renal pelvis",377.6,20.2,19.3,21.2,246,28.5,26.9,30.2,131.6,13.2,12.1,14.3,58.8,3.1,2.7,3.4,39.2,4.7,4.1,5.5,19.6,1.8,1.4,2.2
"Brain and other central nervous system",128.6,7.6,7,8.3,69.6,8.7,7.8,9.7,59,6.7,5.9,7.6,82.4,4.4,3.9,4.8,45.2,5.1,4.5,5.9,37.2,3.7,3.2,4.3
"Thyroid",361.8,22.8,21.7,23.9,99,12.3,11.2,13.4,262.8,33.2,31.3,35.1,10.2,0.5,0.4,0.7,4.8,0.6,0.4,0.8,5.4,0.5,0.3,0.8
"Hodgkin lymphoma",52.4,3.4,3,3.9,28.4,3.7,3.1,4.3,24,3.2,2.6,3.8,4.6,0.3,0.2,0.4,1.8,0.2,0.1,0.5,2.8,0.3,0.2,0.5
"Non-Hodgkin lymphomas",453,24.6,23.6,25.7,247.6,29.7,28,31.5,205.4,20.6,19.3,22,92.2,4.9,4.5,5.4,54.2,6.8,6,7.7,38,3.6,3.1,4.1
"Myeloma",167.6,8.8,8.2,9.5,97.8,11.4,10.4,12.5,69.8,6.7,6,7.5,53.8,2.8,2.5,3.2,28.4,3.4,2.9,4,25.4,2.3,2,2.8
"Leukemias",376.2,20.8,19.9,21.8,224.4,27.5,25.9,29.2,151.8,15.5,14.4,16.7,108.2,5.9,5.4,6.4,65.2,8.3,7.4,9.3,43,4.1,3.5,4.7
